filename,notebook_title,date_e,date_a,date_f,count_context,context,average_context
1zzf3,Notizbuch E3,,,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
1zzf3,Notizbuch E3,,,,143,.//tei:sourceDoc//tei:surface,2
1zzf3,Notizbuch E3,,,,110,.//tei:sourceDoc//tei:add,2
1zzf3,Notizbuch E3,,,,377,.//tei:sourceDoc//tei:zone,2
1zzf3,Notizbuch E3,,,,1696,.//tei:sourceDoc//tei:line,2
1zzf3,Notizbuch E3,,,,897,.//tei:sourceDoc//tei:seg,2
1zzf3,Notizbuch E3,,,,1,.//tei:abstract,2
22jtt,Notizbuch B8,1882-01-03 1882-01-10 1882-02-07 1882-02-11 1882-02-28 1882-03-06 1882-03-09 1882-03-10 1882-03-12 1882-03-14 1882-03-29,,1881,18,.//tei:sourceDoc//tei:note[@type='editorial'],22
22jtt,Notizbuch B8,1882-01-03 1882-01-10 1882-02-07 1882-02-11 1882-02-28 1882-03-06 1882-03-09 1882-03-10 1882-03-12 1882-03-14 1882-03-29,,1881,1,.//tei:sourceDoc//tei:note[@type='authorial'],3
22jtt,Notizbuch B8,1882-01-03 1882-01-10 1882-02-07 1882-02-11 1882-02-28 1882-03-06 1882-03-09 1882-03-10 1882-03-12 1882-03-14 1882-03-29,,1881,134,.//tei:sourceDoc//tei:surface,3
